id,prefix_id,supplier_id,group_line_id,group_line_name,status_id,created_on,created_by,updated_on,updated_by,transfer_switch
249,8,NULL,10249,MON ART,1,NULL,NULL,NULL,NULL,NULL
248,8,NULL,10248,MISAKI,1,NULL,NULL,NULL,NULL,NULL
247,8,NULL,10247,MILTON LLOYD,1,NULL,NULL,NULL,NULL,NULL
246,8,33,10246,MICHAEL KORS,1,NULL,NULL,2020-10-13 16:05:27.000,1,NULL
245,8,NULL,10245,MICHAEL JORDAN,1,NULL,NULL,NULL,NULL,NULL
244,8,136,10244,MERCEDES BENZ,1,NULL,NULL,2021-04-29 11:50:03.000,1,0
243,8,NULL,10243,MENRAD,1,NULL,NULL,NULL,NULL,NULL
242,8,NULL,10242,MEDIMA,1,NULL,NULL,NULL,NULL,NULL
241,8,92,10241,MAUBOUSSIN,1,NULL,NULL,2021-04-29 11:49:33.000,1,0
240,8,NULL,10240,MATRA HORLOGERIE,1,NULL,NULL,NULL,NULL,NULL
239,8,NULL,10239,MASSOIA,1,NULL,NULL,NULL,NULL,NULL
238,8,NULL,10238,MARINER,1,NULL,NULL,NULL,NULL,NULL
237,8,NULL,10237,MARC ROZIER,1,NULL,NULL,NULL,NULL,NULL
236,8,33,10236,MARC JACOBS,1,NULL,NULL,2020-10-13 16:04:21.000,1,NULL
235,8,NULL,10235,MARBERT,1,NULL,NULL,NULL,NULL,NULL
234,8,NULL,10234,MALIPARMI,1,NULL,NULL,NULL,NULL,NULL
233,8,NULL,10233,MADISON NEW YORK,1,NULL,NULL,NULL,NULL,NULL
232,8,NULL,10232,MADISON ,1,NULL,NULL,NULL,NULL,NULL
231,8,NULL,10231,MADAME GRES,1,NULL,NULL,NULL,NULL,NULL
230,8,NULL,10230,MAC BAREN,1,NULL,NULL,NULL,NULL,NULL
229,8,NULL,10229,LWREN SCOTT,1,NULL,NULL,NULL,NULL,NULL
228,8,NULL,10228,LUXENTER,1,NULL,NULL,NULL,NULL,NULL
227,8,NULL,10227,LOUIS JAMAIN,1,NULL,NULL,NULL,NULL,NULL
226,8,138,10226,LOTTO,1,NULL,NULL,2021-04-29 11:48:54.000,1,0
225,8,140,10225,LOR,1,NULL,NULL,2021-04-29 11:48:01.000,1,0
224,8,NULL,10224,LOONEY TUNES,1,NULL,NULL,NULL,NULL,NULL
223,8,NULL,10223,LONGINES,1,NULL,NULL,NULL,NULL,NULL
222,8,71,10222,LIZ CLAIBORNE,1,NULL,NULL,2021-04-29 11:47:03.000,1,0
221,8,NULL,10221,LES PARFUMS,1,NULL,NULL,NULL,NULL,NULL
220,8,112,10220,LEONARD,1,NULL,NULL,2021-04-29 11:46:26.000,1,0
219,8,NULL,10219,LE ROCK,1,NULL,NULL,NULL,NULL,NULL
218,8,26,10218,LANVIN,1,NULL,NULL,2020-10-13 16:00:03.000,1,NULL
217,8,26,10217,LANCOME,1,NULL,NULL,2020-10-13 15:59:30.000,1,NULL
216,8,NULL,10216,LANCETTI MOOD,1,NULL,NULL,NULL,NULL,NULL
215,8,NULL,10215,LANCEL,1,NULL,NULL,NULL,NULL,NULL
214,8,NULL,10214,LANCASTER,1,NULL,NULL,NULL,NULL,NULL
213,8,NULL,10213,LAMBORGHINI,1,NULL,NULL,NULL,NULL,NULL
212,8,76,10212,LALIQUE,1,NULL,NULL,2021-04-29 11:46:03.000,1,0
211,8,NULL,10211,LALALOOPSY,1,NULL,NULL,NULL,NULL,NULL
210,8,26,10210,LACOSTE,1,NULL,NULL,2020-10-13 15:58:06.000,1,NULL
209,8,NULL,10209,LA COLINA TOSCANA,1,NULL,NULL,NULL,NULL,NULL
208,8,NULL,10208,LA BAGAGERIE,1,NULL,NULL,NULL,NULL,NULL
207,8,122,10207,KUNG FU PANDA,1,NULL,NULL,2021-04-29 11:44:45.000,1,0
206,8,NULL,10206,KRIZIA,1,NULL,NULL,NULL,NULL,NULL
205,8,NULL,10205,KRIZIA,1,NULL,NULL,NULL,NULL,NULL
204,8,10,10204,KIWI,1,NULL,NULL,2020-04-27 11:46:18.000,1,NULL
203,8,NULL,10203,KINDY,1,NULL,NULL,NULL,NULL,NULL
202,8,146,10202,KIM KARDASHIAN,1,NULL,NULL,2021-04-29 11:44:21.000,1,0
201,8,NULL,10201,KHLOE KARDASHIAN,1,NULL,NULL,NULL,NULL,NULL
200,8,72,10200,KENZO,1,NULL,NULL,2021-04-29 11:43:44.000,1,0
199,8,NULL,10199,KENNETH COLE,1,NULL,NULL,NULL,NULL,NULL
198,8,NULL,10198,KARL LAGERFELD,1,NULL,NULL,NULL,NULL,NULL
197,8,137,10197,JUVENTUS,1,NULL,NULL,2021-04-29 11:43:02.000,1,0
196,8,NULL,10196,JUST CAVALLI,1,NULL,NULL,NULL,NULL,NULL
195,8,122,10195,JUNGLE MAGIC,1,NULL,NULL,2021-04-29 11:42:24.000,1,0
194,8,121,10194,JULIETTE HAS A GUN,1,NULL,NULL,2021-04-29 11:41:49.000,1,0
193,8,33,10193,JUICY COUTURE,1,NULL,NULL,2020-10-13 15:38:48.000,1,NULL
192,8,NULL,10192,JUICY BITES,1,NULL,NULL,NULL,NULL,NULL
191,8,93,10191,JUDITH LEIBER,1,NULL,NULL,2021-04-29 10:30:06.000,1,0
190,8,NULL,10190,JOOP,1,NULL,NULL,NULL,NULL,NULL
189,8,NULL,10189,JOHNNY BRAVO,1,NULL,NULL,NULL,NULL,NULL
188,8,NULL,10188,JOHN VARVATOS,1,NULL,NULL,NULL,NULL,NULL
187,8,NULL,10187,JOHN MAC STEED,1,NULL,NULL,NULL,NULL,NULL
186,8,26,10186,JIMMY CHOO,1,NULL,NULL,2020-10-13 15:34:22.000,1,NULL
185,8,44,10185,JIL SANDER,1,NULL,NULL,2020-12-14 16:11:15.000,1,0
184,8,NULL,10184,JETTE,1,NULL,NULL,NULL,NULL,NULL
183,8,159,10183,JESSICA SIMPSON,1,NULL,NULL,2021-04-29 11:40:30.000,1,0
182,8,56,10182,JENNIFER LOPEZ,1,NULL,NULL,2021-04-29 11:40:00.000,1,0
181,8,151,10181,JENNIFER ANISTON,1,NULL,NULL,2021-04-29 11:38:06.000,1,0
180,8,NULL,10180,JENNA HEARTBREAKER,1,NULL,NULL,NULL,NULL,NULL
179,8,26,10179,JEAN PAUL GAULTIER,1,NULL,NULL,2020-10-13 15:30:46.000,1,NULL
178,8,128,10178,JEAN PATOU,1,NULL,NULL,2021-04-29 11:36:45.000,1,0
177,8,NULL,10177,JEAN PASCAL,1,NULL,NULL,NULL,NULL,NULL
176,8,NULL,10176,JEAN LUC AMSLER,1,NULL,NULL,NULL,NULL,NULL
175,8,NULL,10175,JEAN LOUIS SCHERRER,1,NULL,NULL,NULL,NULL,NULL
174,8,NULL,10174,JEAN BROSSEAU,1,NULL,NULL,NULL,NULL,NULL
173,8,39,10173,JAGUAR,1,NULL,NULL,2020-10-13 15:30:12.000,1,NULL
172,8,NULL,10172,JACQUES FATH,1,NULL,NULL,NULL,NULL,NULL
